date,time,etf_code,price,nav,premium_pct,volume,turnover_billion,aum_trillion,te_pct
2025-11-26,17:10:43,69500,56080.0,56133.76,-0.0957712435439956,9647232.0,5410.1677056,10.836622368,0.7
2025-11-26,17:35:57,69500,56080.0,56133.76,-0.0957712435439956,9648818.0,5411.0571344,10.836622368,0.7
2025-11-26,18:04:23,069500,56080.0,56133.76,-0.09577124354399569,9655050.0,5414.55204,10.836622367999999,0.7
