com_type,info_type,short_code,std_code,name
1,2,469W1203,KR4469WC63S1,3개월무위험금리 SP 2512-2603
1,1,A69601,KR4A69610009,3개월무위험금리 F 202601
1,1,A69602,KR4A69620008,3개월무위험금리 F 202602
1,1,A69603,KR4A69630007,3개월무위험금리 F 202603
1,1,A69604,KR4A69640006,3개월무위험금리 F 202604
1,1,A69605,KR4A69650005,3개월무위험금리 F 202605
1,1,A69606,KR4A69660004,3개월무위험금리 F 202606
1,1,A69609,KR4A69690001,3개월무위험금리 F 202609
1,1,170W12,KR4170WC0009,30년국채   F 202512
1,2,470W1201,KR4470WC63S9,30년국채   SP 2512-2603
1,1,A70603,KR4A70630004,30년국채   F 202603
