info_type,short_code,std_code,name
5,|201W1228,5|KR4201WC28,59|C 202512 285.0|2|00285.00| |2001|KOSP
5,|201W1228,7|KR4201WC28,75|C 202512 287.5|2|00287.50| |2001|KOSP
5,|201W1229,0|KR4201WC29,09|C 202512 290.0|2|00290.00| |2001|KOSP
5,|201W1229,2|KR4201WC29,25|C 202512 292.5|2|00292.50| |2001|KOSP
5,|201W1229,5|KR4201WC29,58|C 202512 295.0|2|00295.00| |2001|KOSP
5,|201W1229,7|KR4201WC29,74|C 202512 297.5|2|00297.50| |2001|KOSP
5,|201W1230,0|KR4201WC30,06|C 202512 300.0|2|00300.00| |2001|KOSP
5,|201W1230,2|KR4201WC30,22|C 202512 302.5|2|00302.50| |2001|KOSP
5,|201W1230,5|KR4201WC30,55|C 202512 305.0|2|00305.00| |2001|KOSP
5,|201W1230,7|KR4201WC30,71|C 202512 307.5|2|00307.50| |2001|KOSP
5,|201W1231,0|KR4201WC31,05|C 202512 310.0|2|00310.00| |2001|KOSP
5,|201W1231,2|KR4201WC31,21|C 202512 312.5|2|00312.50| |2001|KOSP
5,|201W1231,5|KR4201WC31,54|C 202512 315.0|2|00315.00| |2001|KOSP
5,|201W1231,7|KR4201WC31,70|C 202512 317.5|2|00317.50| |2001|KOSP
5,|201W1232,0|KR4201WC32,04|C 202512 320.0|2|00320.00| |2001|KOSP
5,|201W1232,2|KR4201WC32,20|C 202512 322.5|2|00322.50| |2001|KOSP
5,|201W1232,5|KR4201WC32,53|C 202512 325.0|2|00325.00| |2001|KOSP
5,|201W1232,7|KR4201WC32,79|C 202512 327.5|2|00327.50| |2001|KOSP
5,|201W1233,0|KR4201WC33,03|C 202512 330.0|2|00330.00| |2001|KOSP
5,|201W1233,2|KR4201WC33,29|C 202512 332.5|2|00332.50| |2001|KOSP
5,|201W1233,5|KR4201WC33,52|C 202512 335.0|2|00335.00| |2001|KOSP
5,|201W1233,7|KR4201WC33,78|C 202512 337.5|2|00337.50| |2001|KOSP
5,|201W1234,0|KR4201WC34,02|C 202512 340.0|2|00340.00| |2001|KOSP
5,|201W1234,2|KR4201WC34,28|C 202512 342.5|2|00342.50| |2001|KOSP
5,|201W1234,5|KR4201WC34,51|C 202512 345.0|2|00345.00| |2001|KOSP
5,|201W1234,7|KR4201WC34,77|C 202512 347.5|2|00347.50| |2001|KOSP
5,|201W1235,0|KR4201WC35,01|C 202512 350.0|2|00350.00| |2001|KOSP
5,|201W1235,2|KR4201WC35,27|C 202512 352.5|2|00352.50| |2001|KOSP
5,|201W1235,5|KR4201WC35,50|C 202512 355.0|2|00355.00| |2001|KOSP
5,|201W1235,7|KR4201WC35,76|C 202512 357.5|2|00357.50| |2001|KOSP
5,|201W1236,0|KR4201WC36,00|C 202512 360.0|2|00360.00| |2001|KOSP
5,|201W1236,2|KR4201WC36,26|C 202512 362.5|2|00362.50| |2001|KOSP
5,|201W1236,5|KR4201WC36,59|C 202512 365.0|2|00365.00| |2001|KOSP
5,|201W1236,7|KR4201WC36,75|C 202512 367.5|2|00367.50| |2001|KOSP
5,|201W1237,0|KR4201WC37,09|C 202512 370.0|2|00370.00| |2001|KOSP
5,|201W1237,2|KR4201WC37,25|C 202512 372.5|2|00372.50| |2001|KOSP
5,|201W1237,5|KR4201WC37,58|C 202512 375.0|2|00375.00| |2001|KOSP
5,|201W1237,7|KR4201WC37,74|C 202512 377.5|2|00377.50| |2001|KOSP
5,|201W1238,0|KR4201WC38,08|C 202512 380.0|2|00380.00| |2001|KOSP
5,|201W1238,2|KR4201WC38,24|C 202512 382.5|2|00382.50| |2001|KOSP
5,|201W1238,5|KR4201WC38,57|C 202512 385.0|2|00385.00| |2001|KOSP
5,|201W1238,7|KR4201WC38,73|C 202512 387.5|2|00387.50| |2001|KOSP
5,|201W1239,0|KR4201WC39,07|C 202512 390.0|2|00390.00| |2001|KOSP
5,|201W1239,2|KR4201WC39,23|C 202512 392.5|2|00392.50| |2001|KOSP
5,|201W1239,5|KR4201WC39,56|C 202512 395.0|2|00395.00| |2001|KOSP
5,|201W1239,7|KR4201WC39,72|C 202512 397.5|2|00397.50| |2001|KOSP
5,|201W1240,0|KR4201WC40,04|C 202512 400.0|2|00400.00| |2001|KOSP
5,|201W1240,2|KR4201WC40,20|C 202512 402.5|2|00402.50| |2001|KOSP
5,|201W1240,5|KR4201WC40,53|C 202512 405.0|2|00405.00| |2001|KOSP
5,|201W1240,7|KR4201WC40,79|C 202512 407.5|2|00407.50| |2001|KOSP
5,|201W1241,0|KR4201WC41,03|C 202512 410.0|2|00410.00| |2001|KOSP
5,|201W1241,2|KR4201WC41,29|C 202512 412.5|2|00412.50| |2001|KOSP
5,|201W1241,5|KR4201WC41,52|C 202512 415.0|2|00415.00| |2001|KOSP
5,|201W1241,7|KR4201WC41,78|C 202512 417.5|2|00417.50| |2001|KOSP
5,|201W1242,0|KR4201WC42,02|C 202512 420.0|2|00420.00| |2001|KOSP
5,|201W1242,2|KR4201WC42,28|C 202512 422.5|2|00422.50| |2001|KOSP
5,|201W1242,5|KR4201WC42,51|C 202512 425.0|2|00425.00| |2001|KOSP
5,|201W1242,7|KR4201WC42,77|C 202512 427.5|2|00427.50| |2001|KOSP
5,|201W1243,0|KR4201WC43,01|C 202512 430.0|2|00430.00| |2001|KOSP
5,|201W1243,2|KR4201WC43,27|C 202512 432.5|2|00432.50| |2001|KOSP
5,|201W1243,5|KR4201WC43,50|C 202512 435.0|2|00435.00| |2001|KOSP
5,|201W1243,7|KR4201WC43,76|C 202512 437.5|2|00437.50| |2001|KOSP
5,|201W1244,0|KR4201WC44,00|C 202512 440.0|2|00440.00| |2001|KOSP
5,|201W1244,2|KR4201WC44,26|C 202512 442.5|2|00442.50| |2001|KOSP
5,|201W1244,5|KR4201WC44,59|C 202512 445.0|2|00445.00| |2001|KOSP
5,|201W1244,7|KR4201WC44,75|C 202512 447.5|2|00447.50| |2001|KOSP
5,|201W1245,0|KR4201WC45,09|C 202512 450.0|2|00450.00| |2001|KOSP
5,|201W1245,2|KR4201WC45,25|C 202512 452.5|2|00452.50| |2001|KOSP
5,|201W1245,5|KR4201WC45,58|C 202512 455.0|2|00455.00| |2001|KOSP
5,|201W1245,7|KR4201WC45,74|C 202512 457.5|2|00457.50| |2001|KOSP
5,|201W1246,0|KR4201WC46,08|C 202512 460.0|2|00460.00| |2001|KOSP
5,|201W1246,2|KR4201WC46,24|C 202512 462.5|2|00462.50| |2001|KOSP
5,|201W1246,5|KR4201WC46,57|C 202512 465.0|2|00465.00| |2001|KOSP
5,|201W1246,7|KR4201WC46,73|C 202512 467.5|2|00467.50| |2001|KOSP
5,|201W1247,0|KR4201WC47,07|C 202512 470.0|2|00470.00| |2001|KOSP
5,|201W1247,2|KR4201WC47,23|C 202512 472.5|2|00472.50| |2001|KOSP
5,|201W1247,5|KR4201WC47,56|C 202512 475.0|2|00475.00| |2001|KOSP
5,|201W1247,7|KR4201WC47,72|C 202512 477.5|2|00477.50| |2001|KOSP
5,|201W1248,0|KR4201WC48,06|C 202512 480.0|2|00480.00| |2001|KOSP
5,|201W1248,2|KR4201WC48,22|C 202512 482.5|2|00482.50| |2001|KOSP
5,|201W1248,5|KR4201WC48,55|C 202512 485.0|2|00485.00| |2001|KOSP
5,|201W1248,7|KR4201WC48,71|C 202512 487.5|2|00487.50| |2001|KOSP
5,|201W1249,0|KR4201WC49,05|C 202512 490.0|2|00490.00| |2001|KOSP
