info_type,short_code,std_code,name
1,101W12,KR4101WC0003,F 202512
2,401W1201,KR4401WC63S4,SP 2512-2603
2,401W1202,KR4401WC66S7,SP 2512-2606
2,401W1203,KR4401WC69S1,SP 2512-2609
2,401W1204,KR4401WC6CS3,SP 2512-2612
2,401W1205,KR4401WC76S6,SP 2512-2706
2,401W1206,KR4401WC7CS1,SP 2512-2712
1,A01603,KR4A01630008,F 202603
1,A01606,KR4A01660005,F 202606
1,A01609,KR4A01690002,F 202609
1,A01612,KR4A016C0004,F 202612
1,A01706,KR4A01760003,F 202706
1,A01712,KR4A017C0003,F 202712
