short_code,std_code,name
253450,KR7253450001,스튜디오드래곤
253590,KR7253590004,네오셈
256940,KR7256940008,킵스파마
257720,KR7257720003,실리콘투
260970,KR7260970009,에스앤디
263750,KR7263750002,펄어비스
263860,KR7263860009,지니언스
267980,KR7267980001,매일유업
270660,KR7270660004,에브리봇
272290,KR7272290008,이녹스첨단소재
274090,KR7274090000,켄코아에어로스페이스
277810,KR7277810008,레인보우로보틱스
278280,KR7278280003,천보
281740,KR7281740001,레이크머티리얼즈
282720,KR7282720002,금양그린파워
285490,KR7285490009,노바텍
289220,KR7289220006,자이언트스텝
289930,KR7289930000,웨이비스
290650,KR7290650001,엘앤씨바이오
290670,KR7290670009,대보마그네틱
293490,KR7293490009,카카오게임즈
294570,KR7294570007,쿠콘
295310,KR7295310007,에이치브이엠
297090,KR7297090003,씨에스베어링
298830,KR7298830001,슈어소프트테크
300080,KR7300080009,플리토
304360,KR7304360001,에스바이오메딕스
305090,KR7305090003,마이크로디지탈
309710,KR7309710002,아이티켐
310210,KR7310210000,보로노이
314930,KR7314930009,바이오다인
315640,KR7315640003,딥노이드
317330,KR7317330009,덕산테코피아
319660,KR7319660007,피에스케이
321820,KR7321820003,아티스트컴퍼니
322510,KR7322510009,제이엘케이
323280,KR7323280008,태성
323990,KR7323990002,박셀바이오
328130,KR7328130000,루닛
336570,KR7336570007,원텍
337930,KR7337930002,젝시믹스
338220,KR7338220007,뷰노
340450,KR7340450006,지씨지놈
340570,KR7340570001,티앤엘
348210,KR7348210006,넥스틴
348340,KR7348340001,뉴로메카
348370,KR7348370008,엔켐
351870,KR7351870001,차이커뮤니케이션
352480,KR7352480008,씨앤씨인터내셔널
354320,KR7354320004,알멕
357780,KR7357780006,솔브레인
358570,KR7358570000,지아이이노베이션
361390,KR7361390008,제노코
365340,KR7365340009,성일하이텍
368770,KR7368770004,파이버프로
370090,KR7370090003,퓨런티어
372170,KR7372170001,윤성에프앤씨
372320,KR7372320002,큐로셀
376300,KR7376300000,디어유
377450,KR7377450002,리파인
377480,KR7377480009,마음AI
378340,KR7378340004,필에너지
382150,KR7382150001,온코크로스
382840,KR7382840007,원준
383310,KR7383310000,에코프로에이치엔
388720,KR7388720005,유일로보틱스
389020,KR7389020009,자람테크놀로지
389260,KR7389260001,대명에너지
389650,KR7389650003,넥스트바이오메디컬
393890,KR7393890009,더블유씨피
394280,KR7394280002,오픈엣지테크놀로지
396470,KR7396470007,워트
399720,KR7399720002,가온칩스
