short_code,std_code,name
52L649,KRA521102F99,미래L649삼성전자콜
52L650,KRA521103F98,미래L650삼성전자콜
52L651,KRA521104F97,미래L651삼성전자콜
52L652,KRA521105F96,미래L652삼성전자콜
52L653,KRA521106F95,미래L653삼성전자콜
52L654,KRA521107F94,미래L654삼성전자콜
52L655,KRA521108F93,미래L655삼성전자콜
52L656,KRA521209F91,미래L656삼성전자풋
52L657,KRA521110F99,미래L657POSCO홀콜
52L658,KRA521111F98,미래L658POSCO홀콜
52L659,KRA521112F97,미래L659POSCO홀콜
52L660,KRA521113F96,미래L660POSCO홀콜
52L661,KRA521114F95,미래L661POSCO홀콜
52L662,KRA521115F94,미래L662POSCO홀콜
52L663,KRA521116F93,미래L663POSCO홀콜
52L664,KRA521117F92,미래L664네이버콜
52L665,KRA521118F91,미래L665네이버콜
52L666,KRA521119F90,미래L666네이버콜
52L667,KRA521120F97,미래L667네이버콜
52L668,KRA521121F96,미래L668네이버콜
52L669,KRA521122F95,미래L669네이버콜
52L670,KRA521123F94,미래L670셀트리온콜
52L671,KRA521124F93,미래L671셀트리온콜
52L672,KRA521125F92,미래L672셀트리온콜
52L673,KRA521126F91,미래L673셀트리온콜
52L674,KRA521127F90,미래L674셀트리온콜
52L675,KRA521128F99,미래L675셀트리온콜
52L676,KRA521129F98,미래L676셀트리온콜
52L677,KRA521130F95,미래L677한국전력콜
52L678,KRA521131F94,미래L678한국전력콜
52L679,KRA521132F93,미래L679한국전력콜
52L680,KRA521133F92,미래L680한국전력콜
52L681,KRA521134F91,미래L681한국전력콜
52L682,KRA521135F90,미래L682한국전력콜
52L683,KRA521136F99,미래L683하이브콜
52L684,KRA521137F98,미래L684하이브콜
52L685,KRA521138F97,미래L685하이브콜
52L686,KRA521139F96,미래L686하이브콜
52L687,KRA521140F93,미래L687하이브콜
52L689,KRA521142F91,미래L689HMM콜
52L690,KRA521143F90,미래L690HMM콜
52L691,KRA521144F99,미래L691HMM콜
52L692,KRA521145F98,미래L692현대차콜
52L693,KRA521146F97,미래L693현대차콜
52L694,KRA521147F96,미래L694현대차콜
52L695,KRA521148F95,미래L695SK하이닉콜
52L696,KRA521149F94,미래L696SK하이닉콜
52L697,KRA521150F90,미래L697SK하이닉콜
52L698,KRA521151F99,미래L698SK하이닉콜
52L699,KRA521152F98,미래L699삼성SDI콜
52L700,KRA521153F97,미래L700삼성SDI콜
52L701,KRA521154F96,미래L701삼성SDI콜
52L702,KRA521155F95,미래L702삼성SDI콜
52L703,KRA521156F94,미래L703삼성SDI콜
52L704,KRA521157F93,미래L704삼성SDI콜
52L705,KRA521158F92,미래L705모비스콜
52L706,KRA521159F91,미래L706SK이노콜
52L707,KRA521160F98,미래L707SK이노콜
52L708,KRA521161F97,미래L708SK이노콜
52L709,KRA521162F96,미래L709신한지주콜
52L710,KRA521163F95,미래L710신한지주콜
52L711,KRA521164F94,미래L711기아콜
52L712,KRA521165F93,미래L712기아콜
52L713,KRA521166F92,미래L713기아콜
52L714,KRA521167F91,미래L714카카오콜
52L715,KRA521168F90,미래L715카카오콜
52L716,KRA521169F99,미래L716카카오콜
52L717,KRA521170F96,미래L717카카오콜
52L718,KRA521171F95,미래L718카카오콜
52L719,KRA521172F94,미래L719LG에너지콜
52L720,KRA521173F93,미래L720LG에너지콜
52L721,KRA521174F92,미래L721LG에너지콜
52L722,KRA521175F91,미래L722LG에너지콜
52L723,KRA521176F90,미래L723LG에너지콜
52L724,KRA521177F99,미래L724LG에너지콜
52L725,KRA521178F98,미래L725삼성중콜
52L726,KRA521179F97,미래L726LG화학콜
52L727,KRA521180F94,미래L727LG화학콜
52L728,KRA521181F93,미래L728LG화학콜
52L729,KRA521182F92,미래L729LG화학콜
52L730,KRA521183F91,미래L730두산에너콜
52L731,KRA521184F90,미래L731두산에너콜
52L732,KRA521185F99,미래L732두산에너콜
52L733,KRA521186F98,미래L733두산에너콜
52L734,KRA521187F97,미래L734두산에너콜
52L735,KRA521188F96,미래L735한화솔루콜
52L736,KRA521189F95,미래L736한화솔루콜
52L737,KRA521190F92,미래L737한화솔루콜
52L738,KRA521191F91,미래L738알테오젠콜
52L739,KRA521192F90,미래L739아모레콜
52L740,KRA521193F99,미래L740아모레콜
52L741,KRA521194F98,미래L741아모레콜
52L742,KRA521195F97,미래L742아모레콜
52L743,KRA521196F96,미래L743KB금융콜
52L744,KRA521197F95,미래L744크래프톤콜
52L745,KRA521198F94,미래L745크래프톤콜
52L746,KRA521199F93,미래L746한국항공콜
52L747,KRA5211A0F91,미래L747삼성물산콜
52L748,KRA5211A1F90,미래L748한국조선콜
